16	96
71	30
59	18
51	41
3	74
93	79
23	50
39	62
60	91
11	14
56	95
90	10
66	95
34	50
14	98
25	31
30	97
96	76
36	17
48	93
15	21
7	25
44	28
20	59
10	69
55	54
99	45
93	71
73	96
77	38
25	56
14	55
34	3
90	71
97	68
89	24
66	35
86	87
81	64
4	8
5	98
89	90
53	75
17	89
46	88
72	94
61	60
6	48
99	25
39	82
69	9
83	27
98	8
72	69
49	42
69	6
85	81
34	86
42	36
32	84
51	6
42	72
81	57
86	81
35	56
95	76
73	5
57	50
95	16
69	77
52	71
7	100
33	96
75	15
82	9
20	29
90	60
78	31
35	22
53	79
94	64
76	25
20	51
53	93
82	8
50	21
86	90
26	90
71	2
62	48
78	3
81	51
9	41
32	33
63	57
24	19
70	96
66	5
8	70
27	8
23	14
16	96
